PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Catamarca,Belén,25.475,27.843,2.368,"9,3"
Neuquen,Picunches,6.427,7.022,595,"9,3"
Santiago del Estero,Capital,244.567,267.125,22.558,"9,2"
Jujuy,Palpalá,48.199,52.631,4.432,"9,2"
Provincia de Buenos Aires.,San Miguel,253.086,276.190,23.104,"9,1"
Provincia de Buenos Aires.,Lobos,33.141,36.172,3.031,"9,1"
Mendoza,San Martín,108.448,118.220,9.772,"9,0"
Misiones,San Javier,19.187,20.906,1.719,"9,0"
Corrientes,San Cosme,13.189,14.381,1.192,"9,0"
Santiago del Estero,Jiménez,13.170,14.352,1.182,"9,0"
Corrientes,Capital,328.868,358.223,29.355,"8,9"
Tucuman,Monteros,58.442,63.641,5.199,"8,9"
Formosa,Pilcomayo,78.114,85.024,6.910,"8,8"
San Juan,Ullum,4.490,4.886,396,"8,8"
La Pampa,Capital,96.920,105.312,8.392,"8,7"
Chaco,Independencia,20.620,22.411,1.791,"8,7"
Provincia de Buenos Aires.,Hipólito Yrigoyen,8.819,9.585,766,"8,7"
Chaco,Libertador General San Martín,54.470,59.147,4.677,"8,6"
Provincia de Buenos Aires.,General Paz,10.319,11.202,883,"8,6"
Cordoba,San Justo,190.182,206.307,16.125,"8,5"
San Juan,Rivadavia,76.150,82.641,6.491,"8,5"
Provincia de Buenos Aires.,Saladillo,29.600,32.103,2.503,"8,5"
Provincia de Buenos Aires.,San Antonio de Areco,21.333,23.138,1.805,"8,5"
Provincia de Buenos Aires.,Florentino Ameghino,8.171,8.869,698,"8,5"
La Pampa,Catriló,6.728,7.293,565,"8,4"
Mendoza,San Rafael,173.571,188.018,14.447,"8,3"
Cordoba,Río Segundo,95.803,103.718,7.915,"8,3"
Jujuy,Rinconada,2.298,2.488,190,"8,3"
La Rioja,Sanagasta,2.165,2.345,180,"8,3"
Misiones,Leandro N. Alem,41.670,45.075,3.405,"8,2"
Provincia de Buenos Aires.,Tornquist,11.759,12.723,964,"8,2"
Santiago del Estero,Aguirre,7.035,7.610,575,"8,2"
Entre Rios,Concordia,157.291,170.033,12.742,"8,1"
Santa Fe,Belgrano,41.449,44.788,3.339,"8,1"
Provincia de Buenos Aires.,Patagones,27.938,30.207,2.269,"8,1"
