PROVINCIA;PARTIDO;HAB_2001;HAB_2010;VAR_2001-2010;VAR_PORCENTUAL
Provincia de Buenos Aires.;Balcarce;42039;43823;1784;4
Santiago del Estero;Mitre;1813;1890;77;4
;Ciudad Autónoma de Buenos Aires;2776138;2890151;114013;4
Provincia de Buenos Aires.;Coronel Suárez;36828;38320;1492;4
Chaco;25 de Mayo;28070;29215;1145;4
Provincia de Buenos Aires.;Benito Juárez;19443;20239;796;4
Tucuman;Capital;527607;548866;21259;4
Cordoba;Ischilín;30105;31312;1207;4
Salta;La Viña;7152;7435;283;4
Santiago del Estero;General Taboada;36683;38105;1422;4
Provincia de Buenos Aires.;Morón;309380;321109;11729;4
Santa Fe;Caseros;79096;82100;3004;4
Cordoba;Tulumba;12211;12673;462;4
Provincia de Buenos Aires.;9 de Julio;45998;47722;1724;4
Corrientes;Mercedes;39206;40667;1461;4
Tucuman;Graneros;13063;13551;488;4
Mendoza;Capital;110993;115041;4048;4
Provincia de Buenos Aires.;Azul;62996;65280;2284;4
Provincia de Buenos Aires.;Pehuajó;38400;39776;1376;4
Corrientes;Saladas;21470;22244;774;4
Jujuy;Santa Bárbara;17115;17730;615;4
Jujuy;Humahuaca;16765;17366;601;4
Cordoba;Capital;1284582;1329604;45022;4
Santa Fe;San Javier;29912;30959;1047;4
Salta;Rosario de la Frontera;28013;28993;980;4
Chaco;Bermejo;24215;25052;837;4
Mendoza;Santa Rosa;15818;16374;556;4
Salta;Metán;39006;40351;1345;3
San Juan;Jáchal;21018;21730;712;3
Provincia de Buenos Aires.;Ayacucho;19669;20337;668;3
Entre Rios;Feliciano;14584;15079;495;3
Provincia de Buenos Aires.;San Cayetano;8119;8399;280;3
Tucuman;Simoca;29932;30876;944;3
Entre Rios;Federal;25055;25863;808;3
Chaco;San Lorenzo;14252;14702;450;3
Corrientes;San Miguel;10252;10572;320;3
Neuquen;Collón Curá;4395;4532;137;3
Corrientes;Goya;87349;89959;2610;3
Provincia de Buenos Aires.;Lobería;17008;17523;515;3
Chaco;Mayor Luis J. Fontana;53550;55080;1530;3
La Rioja;General Belgrano;7161;7370;209;3
Provincia de Buenos Aires.;General San Martín;403107;414196;11089;3
Provincia de Buenos Aires.;25 de Mayo;34877;35842;965;3
Santiago del Estero;Choya;33720;34667;947;3
Provincia de Buenos Aires.;Bragado;40259;41336;1077;3
Provincia de Buenos Aires.;Leandro N. Alem;16358;16799;441;3
Provincia de Buenos Aires.;Alberti;10373;10654;281;3
Corrientes;Mburucuyá;9012;9252;240;3
Santiago del Estero;Guasayán;7404;7602;198;3
San Luis;Belgrano;3881;3985;104;3
Jujuy;Valle Grande;2386;2451;65;3
Provincia de Buenos Aires.;Rojas;22842;23432;590;3
Corrientes;Empedrado;14721;15109;388;3
Provincia de Buenos Aires.;General Viamonte;17641;18078;437;3
Corrientes;San Roque;17951;18366;415;2
La Pampa;Utracán;14504;14839;335;2
Neuquen;Minas;7072;7234;162;2
Jujuy;Tumbaya;4553;4658;105;2
Chubut;Languiñeo;3017;3085;68;2
Chaco;Maipú;24747;25288;541;2
Chaco;Presidencia de la Plaza;12231;12499;268;2
Provincia de Buenos Aires.;Coronel de Marina Leonardo Rosales;60892;62152;1260;2
Neuquen;Zapala;35806;36549;743;2
Misiones;25 de Mayo;27187;27754;567;2
Provincia de Buenos Aires.;General Alvear;10897;11130;233;2
Santiago del Estero;Rivadavia;4916;5015;99;2
Cordoba;Tercero Arriba;107460;109554;2094;2
Provincia de Buenos Aires.;Junín;88664;90305;1641;2
Corrientes;Ituzaingó;30565;31150;585;2
Catamarca;Santa María;22127;22548;421;2
Santiago del Estero;Figueroa;17495;17820;325;2
La Pampa;Trenel;5324;5426;102;2
Santa Fe;Iriondo;65486;66675;1189;2
Provincia de Buenos Aires.;Lincoln;41127;41808;681;2
Salta;Molinos;5565;5652;87;2
Provincia de Buenos Aires.;General Guido;2771;2816;45;2
Provincia de Buenos Aires.;Lanús;453082;459263;6181;1
Corrientes;Esquina;30372;30802;430;1
Provincia de Buenos Aires.;Las Flores;23551;23871;320;1
Santiago del Estero;Silípica;7605;7712;107;1
Neuquen;Ñorquín;4628;4692;64;1
Santa Fe;San Justo;40379;40904;525;1
Cordoba;Sobremonte;4531;4591;60;1
